Age,Ethnicity,Gender,Religion,Study,Origin,SES,PoliticalAff,Education,NumSocialMedia,AgeFirstPhone,AgeSmartPhone,DataPlan,HoursGV,PoliticalLean,SubUse,FollowNews,Diet,ClimateScore,SmartPhoneUse,SIFStudy,SleepHrs,SleepC
20,1,Male,Prefer not to answer,Prefer not to answer,Urban,5,No affiliation,6,3,15,2,"Low, limited data",5,50,No,60,Omnivore,28,5.25,I'm not sure,6,3
19,4,Female,Religious,STEM,Suburban,4,No affiliation,7,5,16,3,"Low, limited data",4.5,25,Yes,30,Omnivore,35,4.25,I'm not sure,6,3
21,1,Female,"Not religious, but spiritual",Undecided,Urban,4,No affiliation,3,3,10,1,"Moderate, limited data",2,0,No,51,Prefer not to answer,27,2.67,I prefer not to answer,7.5,2
20,6,Male,Atheist,STEM,Suburban,4,Democrat,7,2,16,2,"High, but limited data",0.5,77,No,65,Vegan,34,2.25,I'm not sure,7,3
22,6,Female,Agnostic,STEM,Urban,4,Democrat,3,2,13,1,Unlimited data,0.5,5,Yes,97,Omnivore,39,4,Yes,6.3,2
22,2,Male,"Not religious, but spiritual",STEM,Suburban,4,Democrat,4,6,13,1,"High, but limited data",3,0,Yes,88,Omnivore,40,10,No,7,4
19,1,Female,Other,Undecided,Urban,4,Republican,7,5,9,1,"Moderate, limited data",5,0,No,50,Omnivore,27,7,I'm not sure,8,3
NA,6,Female,"Not religious, but spiritual",STEM,Urban,4,Democrat,7,2,12,1,Unlimited data,1,70,No,85,Omnivore,31,4.3,I'm not sure,7,3
19,5,Female,Religious,STEM,Urban,4,Democrat,2,5,16,1,Unlimited data,2,70,No,60,Vegetarian,34,7.44,Yes,7,3
19,5,Female,Religious,STEM,Urban,1,Democrat,2,4,15,3,Unlimited data,6,0,No,40,Omnivore,40,4.5,Yes,4,3
21,2,Male,"Not religious, but spiritual",STEM,Suburban,2,Democrat,6,6,13,4,Unlimited data,0.5,15,Yes,70,Omnivore,36,5.75,Yes,6.5,3
22,6,Male,Religious,STEM,Urban,3,No affiliation,7,2,17,1,"Moderate, limited data",1,65,Yes,100,Omnivore,25,2,No,7,3
21,1,Male,"Not religious, but spiritual",Business,Urban,3,Independent,2,3,12,4,Unlimited data,2,50,No,25,Prefer not to answer,37,12,I'm not sure,8,3
21,1,Male,Prefer not to answer,STEM,Suburban,4,No affiliation,7,3,10,1,Unlimited data,4,0,No,80,Omnivore,32,6,Yes,6,3
21,1,NA,Atheist,Humanities,Urban,4,Democrat,3,2,14,2,Unlimited data,2,10,No,50,Omnivore,36,1.25,I'm not sure,9,5
26,2,Female,Religious,STEM,Urban,2,Democrat,1,5,18,2,"Moderate, limited data",5,1,No,0,Omnivore,40,6,I'm not sure,5,3
19,1,Male,Religious,STEM,Urban,4,Democrat,6,3,14,3,Unlimited data,10,3,Yes,80,Omnivore,35,7.5,Yes,7.5,1
19,1,Male,Prefer not to answer,STEM,Urban,4,No affiliation,7,2,16,2,"Moderate, limited data",6,0,No,40,Prefer not to answer,27,5,I'm not sure,5,1
20,1,Male,Religious,Business,Suburban,3,No affiliation,6,4,12,1,Unlimited data,4,50,Yes,100,Omnivore,31,3,Yes,10,5
22,2,Male,Religious,STEM,Suburban,3,Democrat,6,8,15,1,Unlimited data,4,15,No,90,Omnivore,34,6,I'm not sure,8,4
7,1,Female,"Not religious, but spiritual",Arts,Urban,4,No affiliation,7,6,14,2,Unlimited data,1.5,60,No,50,Omnivore,36,10,I'm not sure,8,3
20,1,Female,Atheist,Business,Urban,4,No affiliation,6,3,11,1,"High, but limited data",3,0,No,30,Omnivore,34,4.2,I'm not sure,8,3
20,1,Female,"Not religious, but spiritual",Humanities,Urban,4,Democrat,7,6,15,1,"Low, limited data",5,1,Yes,90,Vegetarian,38,11.25,Yes,4,5
20,1,Female,"Not religious, but spiritual",Undecided,Urban,2,Republican,2,6,11,1,Unlimited data,9,25,No,75,Omnivore,34,10.25,No,7,1
20,6,Female,Religious,STEM,Suburban,4,Democrat,7,3,11,1,Unlimited data,1,15,No,90,Omnivore,39,2.5,Yes,5,5
22,5,Male,Prefer not to answer,STEM,Rural,3,Democrat,1,4,15,1,Unlimited data,4,65,No,85,Prefer not to answer,29,4.3,I'm not sure,6,2
20,1,Male,"Not religious, but spiritual",STEM,Urban,4,Other,6,3,16,2,"High, but limited data",3,51,No,80,Prefer not to answer,29,5.3,I'm not sure,7,3
21,1,Female,Religious,STEM,Urban,4,No affiliation,7,2,14,1,"Moderate, limited data",2,40,No,40,Prefer not to answer,38,6,I'm not sure,6,2
20,1,Male,Atheist,STEM,Urban,4,Democrat,8,2,12,3,"Moderate, limited data",0.5,30,No,70,Omnivore,37,5,No,8,1
21,1,Male,Religious,STEM,Suburban,4,Democrat,8,3,18,1,Unlimited data,5,68,No,70,Omnivore,32,3.25,I'm not sure,6,3
19,6,Female,Other,STEM,Urban,4,Democrat,7,2,14,3,Unlimited data,1,15,No,50,Omnivore,37,2,Yes,7,2
19,4,Female,Religious,STEM,Suburban,4,Republican,7,6,12,1,Unlimited data,4,70,No,50,Omnivore,34,3,I'm not sure,7,3
